,0,400,800,1200,1600,2000,2400,2800
174,0.098849,0.036579,0.062533,0.065682,0.134485,0.042544,0.110085,0.100112
176,0.533045,0.407992,0.516385,0.371052,0.703819,0.43138,0.406203,0.248385
178,2.011316,1.509871,2.02849,1.607402,2.804552,1.689869,1.518707,1.048057
180,6.113697,7.008445,8.47555,7.221749,9.41151,7.322277,5.954798,4.724274
182,8.25764,11.890231,9.593645,8.880199,8.559543,10.452631,8.787606,9.64841
184,5.870001,6.279907,5.914237,6.334867,4.731834,6.035503,5.91482,6.323658
186,2.594868,1.775776,1.842957,2.6254,1.214822,1.825381,2.845778,2.983717
188,0.696439,0.246041,0.36868,0.929968,0.312875,0.237552,1.060611,0.81561
190,0.353407,0.183508,0.170344,0.528842,0.34661,0.155973,1.110132,1.157809
192,0.552049,0.373466,0.367709,0.492096,0.706399,0.393594,1.381101,1.672086
194,1.292059,1.117998,1.082694,1.07931,1.372375,1.154258,1.396415,1.522439
196,1.623008,1.217832,1.307442,1.241247,1.257616,1.527322,1.03302,1.098078
198,1.116638,0.57448,0.716567,0.789198,0.657057,0.831798,0.54718,0.554463
200,0.645669,0.305328,0.348053,0.419256,0.292553,0.445501,0.311737,0.335569
202,0.257554,0.07653,0.099737,0.161785,0.132876,0.118311,0.170413,0.177266
204,0.213262,0.062006,0.073825,0.108851,0.16295,0.102983,0.169497,0.166154
206,0.445806,0.306577,0.377919,0.314997,0.508562,0.347332,0.35915,0.244071
208,1.594516,0.873663,1.122672,1.107414,1.988983,0.859528,1.018968,0.610754
210,5.253254,5.788866,6.905407,6.335421,7.586947,6.240331,5.190735,4.620528
212,6.941501,9.366441,8.503737,7.425953,8.094344,8.666396,7.398515,7.654488
214,5.941315,7.551741,6.685111,6.250971,5.554657,6.922996,6.127167,6.178714
216,3.213751,2.841145,2.585685,3.301683,1.848075,2.633417,3.249498,3.546337
218,1.218761,0.443171,0.595856,1.223907,0.429965,0.513833,1.277785,1.185303
220,0.638553,0.271828,0.408034,0.740856,0.578988,0.316148,1.204584,1.281156
