overflow 1ms,,,
,over 400us,over 500us,over 1ms
187,0.141602,0.019018,0.00129
188,0.13848,0.017353,0.00172
189,0.139327,0.0182,0.001581
190,0.142337,0.019198,0.003426
191,0.136511,0.016396,0.001651
192,0.135221,0.0153,0.00147
193,0.13744,0.016896,0.001457
194,0.143655,0.019642,0.001373
195,0.142628,0.019212,0.001623
196,0.136025,0.015938,0.00129
197,0.138411,0.017353,0.001151
198,0.139812,0.018172,0.001276
199,0.13812,0.016993,0.001512
200,0.140644,0.019198,0.001179
201,0.1407,0.01838,0.001443
202,0.137163,0.016688,0.001346
203,0.138689,0.017062,0.001678
204,0.139757,0.018075,0.001276
205,0.138369,0.016674,0.00147
206,0.139146,0.017881,0.00197
207,0.13468,0.014995,0.001512
208,0.136233,0.016022,0.001581
209,0.141172,0.01967,0.001831
210,0.139868,0.017714,0.001359
211,0.144972,0.020169,0.001235
212,0.136303,0.015938,0.001387
213,0.141518,0.019545,0.001235
214,0.1407,0.018269,0.001401
215,0.138799,0.016618,0.001359
216,0.139923,0.018102,0.001429
217,0.137995,0.016965,0.001526
218,0.141088,0.018782,0.00154
219,0.143391,0.020031,0.001304
220,0.143668,0.020142,0.000999
221,0.140103,0.01863,0.000999
222,0.141449,0.019004,0.001124
223,0.141269,0.019309,0.001235
224,0.136483,0.016063,0.001637
225,0.137426,0.017381,0.00111
226,0.141713,0.018879,0.001637
227,0.13984,0.017686,0.001151
228,0.137939,0.017048,0.002469
229,0.139604,0.017797,0.001567
230,0.137246,0.016216,0.001401
231,0.14131,0.017783,0.001415
232,0.144251,0.020516,0.001567
233,0.140811,0.018727,0.002108
234,0.135706,0.015356,0.001692
235,0.140561,0.018338,0.001193
236,0.136746,0.015814,0.00129
237,0.138148,0.016868,0.001595
238,0.144501,0.020794,0.001318
239,0.138342,0.017242,0.000777
240,0.141504,0.018574,0.001859
241,0.139382,0.017991,0.001276
242,0.139035,0.01752,0.001457
243,0.138397,0.016743,0.00147
244,0.139743,0.018144,0.001193
245,0.144653,0.021154,0.001332
246,0.140561,0.018713,0.001318
247,0.142226,0.018311,0.001665
248,0.139632,0.016701,0.001387
249,0.139299,0.016369,0.002247
250,0.137024,0.015078,0.002011
251,0.141463,0.018532,0.001665
252,0.142531,0.018921,0.001498
253,0.138883,0.015717,0.001221
254,0.148676,0.021626,0.001193
255,0.144626,0.018408,0.001068
256,0.143502,0.019198,0.001359
257,0.14002,0.01659,0.001803
258,0.147774,0.021404,0.000943
259,0.142004,0.017478,0.001942
260,0.147941,0.021584,0.001124
261,0.138605,0.015384,0.002178
262,0.142586,0.018186,0.001484
263,0.144307,0.019254,0.00154
264,0.144265,0.019087,0.001887
265,0.14267,0.018005,0.001956
266,0.15059,0.023027,0.001678
267,0.142767,0.018338,0.001651
268,0.145624,0.020114,0.001443
269,0.143294,0.018505,0.00147
270,0.143766,0.018574,0.001512
271,0.141948,0.017797,0.002095
272,0.143974,0.01881,0.001359
273,0.142351,0.017437,0.001221
274,0.141726,0.017714,0.001748
275,0.143585,0.018435,0.001235
276,0.145555,0.020197,0.001332
277,0.144958,0.019129,0.001373
278,0.145638,0.019517,0.001498
279,0.141976,0.017631,0.001013
280,0.143655,0.018422,0.002081
281,0.14095,0.016022,0.001831
282,0.142101,0.017076,0.001387
283,0.142448,0.01838,0.001221
284,0.143724,0.018366,0.001567
285,0.143627,0.018935,0.00129
286,0.14328,0.018283,0.001276
287,0.142545,0.017964,0.001637
288,0.145499,0.019462,0.00154
289,0.143668,0.018477,0.001637
290,0.140825,0.016535,0.001526
291,0.145846,0.019018,0.001304
292,0.144709,0.018491,0.001831
293,0.141296,0.016923,0.001248
294,0.142323,0.017131,0.001637
295,0.144598,0.019004,0.001595
296,0.141837,0.016729,0.001789
297,0.14138,0.016882,0.001984
298,0.140769,0.017007,0.001318
299,0.145125,0.019129,0.002539
300,0.142614,0.018047,0.001567
301,0.138564,0.01537,0.001484
302,0.147816,0.020669,0.001554
303,0.143613,0.018033,0.00129
304,0.147927,0.021515,0.001137
305,0.145028,0.018852,0.001512
306,0.140672,0.016549,0.00147
307,0.138272,0.014843,0.001554
308,0.144057,0.018643,0.001595
309,0.141782,0.016549,0.002025
310,0.139243,0.015148,0.001554
311,0.142309,0.017991,0.001013
312,0.14475,0.018699,0.000888
313,0.144764,0.019767,0.001207
314,0.145097,0.019018,0.00129
315,0.147455,0.020211,0.001207
316,0.144265,0.019032,0.001484
317,0.143127,0.017464,0.001429
318,0.144265,0.018435,0.00308
319,0.144528,0.019143,0.001304
320,0.142656,0.01795,0.001276
321,0.143155,0.017991,0.001262
322,0.141199,0.016299,0.001235
323,0.140325,0.015314,0.001276
324,0.143696,0.018435,0.001887
325,0.144154,0.018519,0.001248
326,0.144903,0.017853,0.000874
327,0.145832,0.019295,0.000874
328,0.145985,0.020294,0.000902
329,0.144806,0.018532,0.001082
330,0.143599,0.018338,0.00111
331,0.147039,0.020072,0.000666
332,0.146387,0.019795,0.00104
333,0.140672,0.015828,0.001346
334,0.14568,0.019365,0.001124
335,0.141005,0.0158,0.001332
336,0.140617,0.016244,0.001262
337,0.136941,0.013608,0.002206
338,0.144112,0.017326,0.001013
339,0.141893,0.016868,0.001193
340,0.138675,0.014801,0.00154
341,0.146817,0.019656,0.000791
342,0.144085,0.018089,0.000624
343,0.144958,0.018893,0.001207
344,0.142198,0.017353,0.000818
345,0.145264,0.01813,0.000721
346,0.155501,0.026259,0.001235
347,0.146845,0.01949,0.000791
348,0.142822,0.016369,0.001221
349,0.147414,0.019517,0.001276
350,0.145375,0.018408,0.000805
351,0.147788,0.020253,0.003884
352,0.149536,0.020544,0.001332
353,0.14887,0.01967,0.001359
354,0.143946,0.017159,0.001332
355,0.14568,0.018116,0.001027
356,0.142864,0.016951,0.001609
357,0.141671,0.016396,0.001151
358,0.145167,0.017853,0.002469
359,0.146803,0.019101,0.000957
360,0.145943,0.018213,0.000916
361,0.144307,0.016965,0.000943
362,0.14303,0.017062,0.001027
363,0.144598,0.017659,0.001165
364,0.147691,0.019184,0.001387
365,0.147442,0.019601,0.001054
366,0.146124,0.01906,0.00068
367,0.14844,0.019531,0.001137
368,0.142434,0.016452,0.001096
369,0.139646,0.014648,0.001027
370,0.147636,0.018893,0.002969
371,0.141005,0.014565,0.001318
372,0.146956,0.018213,0.001346
373,0.144903,0.017104,0.001498
374,0.149508,0.020128,0.00129
375,0.145028,0.018089,0.001137
376,0.142531,0.01444,0.001165
377,0.149134,0.019309,0.001068
378,0.147358,0.018422,0.001359
379,0.14568,0.017229,0.001887
380,0.149051,0.019379,0.001831
381,0.143752,0.016757,0.001082
382,0.145694,0.017686,0.001221
383,0.148607,0.018574,0.001678
384,0.152685,0.022208,0.000957
385,0.145902,0.017215,0.001235
386,0.143696,0.016258,0.000707
387,0.148801,0.018949,0.000971
388,0.148024,0.019087,0.001068
389,0.146498,0.016965,0.002525
390,0.15084,0.01949,0.001137
391,0.146526,0.017381,0.00111
392,0.150063,0.018865,0.001068
393,0.148648,0.017867,0.000846
394,0.154433,0.02121,0.001692
395,0.156167,0.023041,0.001359
396,0.148732,0.018324,0.00129
397,0.148329,0.017561,0.00129
398,0.152949,0.019823,0.001346
399,0.147622,0.017312,0.002136
400,0.156028,0.02293,0.002247
401,0.148024,0.016507,0.000999
402,0.147497,0.017617,0.001124
403,0.152366,0.020045,0.001124
404,0.147761,0.017672,0.001165
405,0.149106,0.019171,0.001124
406,0.15016,0.018643,0.000943
407,0.146859,0.017256,0.001027
408,0.149703,0.018921,0.001054
409,0.149952,0.018241,0.001346
410,0.150729,0.019587,0.001429
411,0.149495,0.018546,0.001304
412,0.146762,0.016812,0.001235
413,0.148745,0.016965,0.00154
414,0.150812,0.019656,0.001068
415,0.150951,0.020058,0.001554
416,0.155737,0.021335,0.001401
417,0.153254,0.021404,0.000888
418,0.150313,0.01924,0.001179
419,0.148912,0.017631,0.001443
420,0.15023,0.01967,0.001803
421,0.150729,0.019476,0.001665
422,0.151215,0.01967,0.001318
423,0.150299,0.018505,0.001387
424,0.149855,0.018907,0.001068
425,0.153337,0.020655,0.001706
426,0.150271,0.019129,0.001124
427,0.147039,0.017048,0.001484
