,0,400,800,1200,1600,2000,2400
196,0.003759,0.003135,0.004647,0.00437,0.004078,0.00326,0.00412
198,0.005826,0.006506,0.008725,0.008739,0.007616,0.008309,0.008767
200,0.011361,0.012263,0.012942,0.013941,0.012276,0.012512,0.01297
202,0.01487,0.013622,0.014274,0.013123,0.012748,0.013261,0.012471
204,0.010806,0.011347,0.00928,0.008975,0.00989,0.011028,0.01082
206,0.007324,0.006936,0.006755,0.006645,0.007158,0.008073,0.007394
208,0.006658,0.005604,0.004661,0.003967,0.00394,0.004189,0.003759
210,0.00369,0.003371,0.002428,0.0024,0.002164,0.001956,0.001887
212,0.00197,0.001873,0.002219,0.001706,0.001845,0.001734,0.001581
214,0.002122,0.002566,0.003204,0.003343,0.003371,0.002899,0.00326
216,0.003745,0.003912,0.004439,0.004467,0.004037,0.004064,0.003884
218,0.003912,0.004342,0.003412,0.003607,0.003995,0.00369,0.003773
220,0.003107,0.002705,0.002289,0.0019,0.002192,0.002136,0.002511
222,0.001817,0.00172,0.001845,0.001748,0.001665,0.001998,0.001581
224,0.001595,0.00129,0.000846,0.00111,0.000749,0.000791,0.00086
226,0.00086,0.00068,0.000555,0.000486,0.000388,0.000375,0.000458
228,0.000583,0.000402,0.000305,0.000333,0.000333,0.000388,0.000347
230,0.000277,0.000555,0.000388,0.000416,0.000541,0.000388,0.000583
232,0.000402,0.000416,0.000333,0.000583,0.000444,0.00043,0.000444
234,0.000305,0.00025,0.000236,0.000208,0.000125,0.000153,0.000194
236,0.000125,0.000166,0.000139,0.00018,0.000139,0.000125,0.000042
238,0.000028,0.000028,0.000042,0.000028,0.000069,0.000125,0.000069
240,0.000125,0.000042,0.000055,0.000055,0.000055,0.000069,0.000055
242,0.000083,0.000028,0.000069,0.000055,0.000125,0.000042,0
244,0.000069,0.000125,0.000028,0.000042,0.000028,0.000097,0.000139
246,0.000042,0.000083,0.000166,0.000069,0.000111,0.000125,0.000097
248,0.000083,0.000125,0.000111,0.000042,0.000111,0.000042,0.000139
250,0.000028,0.000042,0.000055,0.000055,0.000153,0.000014,0.000014
252,0.000097,0.000042,0.000014,0.000097,0.000055,0.000097,0.000028
254,0.000028,0.000014,0.000028,0.000014,0.000042,0.000055,0.000069
256,0.000042,0.000014,0.000028,0.000042,0.000042,0.000028,0.000014
258,0.000014,0,0.000028,0.000014,0.000014,0.000014,0.000028
260,0.000028,0.000014,0.000055,0.000028,0.000055,0.000055,0.000028
262,0.000014,0.000014,0.000014,0.000055,0.000014,0,0.000055
264,0.000028,0.000014,0.000014,0,0,0.000028,0.000028
266,0.000042,0.000014,0.000028,0.000014,0.000028,0.000014,0.000028
