overflow 1ms,,,
,over 200us,over 500us,over 1ms
306,0.073381,0.001137,0.000874
307,0.074726,0.000888,0.000707
308,0.075933,0.001082,0.000874
309,0.077473,0.000929,0.000749
310,0.075295,0.000888,0.000638
311,0.076349,0.000818,0.000569
312,0.096977,0.003399,0.002525
313,0.075226,0.000929,0.000805
314,0.077376,0.000832,0.000652
315,0.074768,0.000832,0.000596
316,0.077695,0.000666,0.000458
317,0.076252,0.00086,0.00061
318,0.075254,0.000527,0.000333
319,0.075961,0.000805,0.000555
320,0.082467,0.001692,0.001207
321,0.074948,0.000832,0.000735
322,0.07499,0.000735,0.000596
323,0.076252,0.000818,0.000652
324,0.07689,0.000749,0.000527
325,0.07524,0.000749,0.000541
326,0.075503,0.000583,0.000458
327,0.075836,0.000666,0.00043
328,0.073062,0.000694,0.000513
329,0.074435,0.000721,0.000624
330,0.073575,0.000555,0.000416
331,0.074005,0.000721,0.000569
332,0.079901,0.00129,0.000985
333,0.074324,0.000791,0.000541
334,0.078611,0.000985,0.00068
335,0.074213,0.000777,0.000624
336,0.074657,0.000707,0.000486
337,0.077681,0.000777,0.000624
338,0.077515,0.000694,0.000486
339,0.071314,0.000777,0.000596
340,0.075365,0.00086,0.00068
341,0.075989,0.000624,0.000402
342,0.073714,0.000666,0.000527
343,0.073797,0.00061,0.000458
344,0.074962,0.000624,0.000472
345,0.076336,0.000777,0.00061
346,0.074615,0.000652,0.000458
347,0.076322,0.000777,0.000638
348,0.076266,0.000874,0.000527
349,0.083313,0.001304,0.000832
350,0.072687,0.000624,0.00043
351,0.074713,0.000596,0.000375
352,0.077445,0.000513,0.000333
353,0.096907,0.003038,0.002136
354,0.087003,0.001609,0.00111
355,0.073797,0.000638,0.000444
356,0.073131,0.000402,0.000236
357,0.075892,0.000777,0.000555
358,0.074782,0.000541,0.000375
359,0.076613,0.000832,0.000499
360,0.076238,0.000888,0.00068
361,0.075864,0.000721,0.000541
362,0.075378,0.001401,0.00111
363,0.075836,0.000818,0.000555
364,0.077653,0.000971,0.000638
365,0.079013,0.000569,0.00025
366,0.075087,0.000666,0.000388
367,0.077903,0.00061,0.000347
368,0.0785,0.001221,0.000957
369,0.074602,0.000596,0.000458
370,0.076294,0.000624,0.00043
371,0.073742,0.001027,0.000791
372,0.075129,0.000499,0.000375
373,0.077529,0.000721,0.000388
374,0.077085,0.001027,0.000846
375,0.074296,0.000735,0.00061
376,0.074296,0.001068,0.000791
377,0.075392,0.000624,0.000416
378,0.077764,0.000596,0.00043
379,0.077029,0.000694,0.000458
380,0.073825,0.00061,0.000375
