,0,400,800,1200,1600,2000
244,0.01795,0.003537,0.004897,0.010314,0.011742,0.004605
246,0.017014,0.003336,0.004321,0.008358,0.010751,0.004217
248,0.017298,0.003107,0.004002,0.007296,0.009724,0.004189
250,0.015515,0.00319,0.004134,0.006166,0.008753,0.00378
252,0.013178,0.003718,0.003669,0.005604,0.008233,0.004196
254,0.012443,0.003849,0.003759,0.005195,0.006866,0.004182
256,0.012637,0.003579,0.004009,0.004917,0.006742,0.004529
258,0.012034,0.003551,0.004266,0.005056,0.006409,0.004744
260,0.012644,0.004605,0.004737,0.004813,0.006707,0.005119
262,0.011264,0.004751,0.004425,0.005035,0.006464,0.004557
264,0.008413,0.003551,0.004494,0.004952,0.005549,0.004141
266,0.00609,0.003475,0.003849,0.005035,0.005285,0.004231
268,0.005327,0.003808,0.004425,0.004765,0.005035,0.004175
270,0.00421,0.003759,0.003759,0.004952,0.00532,0.004064
272,0.004196,0.003572,0.003995,0.00498,0.005264,0.003974
274,0.004917,0.004078,0.004342,0.004869,0.005937,0.004841
276,0.005049,0.00362,0.004716,0.004342,0.005722,0.004474
278,0.004897,0.003725,0.004425,0.005181,0.005556,0.004543
280,0.003308,0.003419,0.003822,0.004654,0.005313,0.003884
282,0.00172,0.004217,0.004335,0.004696,0.005382,0.004106
284,0.000846,0.004037,0.003946,0.005028,0.005479,0.004252
286,0.000798,0.003045,0.003558,0.004924,0.00498,0.003329
288,0.000416,0.002878,0.003364,0.004716,0.004564,0.003614
290,0.000229,0.003496,0.003385,0.004661,0.004917,0.004356
292,0.000326,0.003648,0.003718,0.004217,0.00473,0.004141
294,0.000257,0.003537,0.003926,0.005063,0.004141,0.003662
296,0.000222,0.003073,0.003946,0.004363,0.004827,0.003745
298,0.000264,0.003211,0.00387,0.004557,0.005243,0.003489
300,0.000166,0.003288,0.003475,0.004605,0.005098,0.003426
302,0.000132,0.003031,0.003711,0.004474,0.005237,0.003537
304,0.00009,0.003232,0.003808,0.00446,0.004848,0.003579
306,0.000069,0.003683,0.004106,0.004501,0.005216,0.003988
308,0.000062,0.003697,0.004002,0.004765,0.00523,0.003676
310,0.000104,0.004078,0.003891,0.004813,0.005771,0.004356
312,0.000104,0.004238,0.004057,0.005243,0.005687,0.003912
314,0.000042,0.00437,0.004744,0.005153,0.005465,0.004328
316,0.000111,0.004515,0.004765,0.005472,0.005611,0.00464
318,0.000097,0.004807,0.005015,0.004959,0.005729,0.005139
320,0.000118,0.00507,0.005112,0.00516,0.005299,0.004994
322,0.000076,0.005798,0.005008,0.00482,0.005195,0.005174
324,0.000069,0.005882,0.004952,0.005292,0.005042,0.005098
326,0.000055,0.00523,0.004959,0.005549,0.005417,0.004793
328,0.000111,0.005015,0.005354,0.005999,0.005618,0.005396
330,0.000083,0.005514,0.006034,0.006492,0.006256,0.005549
332,0.000042,0.005479,0.006312,0.006735,0.006589,0.006429
334,0.000055,0.006513,0.006582,0.006755,0.007123,0.00636
336,0.000055,0.007706,0.006658,0.006686,0.006707,0.006811
338,0.000076,0.007574,0.006846,0.006527,0.006832,0.006679
340,0.000069,0.007844,0.007518,0.007442,0.007532,0.007061
342,0.000069,0.008753,0.008857,0.008274,0.008538,0.007616
344,0.000035,0.007948,0.00815,0.00808,0.008108,0.007747
346,0.000055,0.007477,0.007283,0.007768,0.008406,0.007879
348,0.000035,0.007837,0.008309,0.007775,0.008642,0.008115
350,0.000062,0.008115,0.008739,0.008052,0.008698,0.007858
352,0.000042,0.008198,0.008677,0.00817,0.009169,0.008933
354,0.000062,0.009447,0.009995,0.008781,0.009384,0.008989
356,0.000062,0.010223,0.012616,0.009641,0.008732,0.009849
358,0.000055,0.009974,0.014024,0.00937,0.008177,0.009232
360,0.000028,0.008892,0.01229,0.00885,0.008205,0.008476
362,0.000055,0.008323,0.009856,0.008913,0.008545,0.008933
364,0.000021,0.007983,0.009398,0.008011,0.008482,0.008739
366,0.000055,0.008399,0.009877,0.008337,0.009183,0.009252
368,0.00009,0.008774,0.011167,0.008698,0.009287,0.008843
370,0.000049,0.007928,0.010612,0.008261,0.00842,0.008039
372,0.000069,0.007005,0.009003,0.007435,0.008018,0.007019
374,0.000076,0.006714,0.009467,0.006797,0.008593,0.00661
376,0.000028,0.007179,0.009377,0.007206,0.008046,0.007831
378,0.000028,0.007539,0.009433,0.007394,0.008087,0.007172
380,0.000042,0.00772,0.008718,0.007664,0.008489,0.007609
382,0.000028,0.007435,0.008968,0.008184,0.00858,0.008163
384,0.000055,0.00738,0.00962,0.008663,0.008469,0.008143
386,0.000028,0.008046,0.00928,0.007928,0.008281,0.007768
388,0.000069,0.006284,0.007796,0.007213,0.007234,0.006658
390,0.000069,0.006658,0.007075,0.006887,0.008039,0.006721
392,0.000028,0.006679,0.007151,0.007151,0.008455,0.006624
394,0.000076,0.00697,0.007692,0.007359,0.009523,0.006839
396,0.000055,0.007303,0.007955,0.006984,0.009245,0.006728
398,0.000049,0.006728,0.00729,0.006749,0.009731,0.006436
400,0.000055,0.006735,0.007165,0.006957,0.010168,0.007068
402,0.000062,0.007567,0.007276,0.007019,0.010667,0.006991
404,0.00009,0.007331,0.007296,0.007768,0.010563,0.007199
406,0.000049,0.006714,0.00731,0.00729,0.009745,0.006853
408,0.000042,0.00679,0.007754,0.007803,0.008309,0.007234
410,0.000062,0.00729,0.007505,0.00824,0.008399,0.007463
412,0.000055,0.007394,0.007671,0.007255,0.008129,0.007602
414,0.000035,0.007068,0.007803,0.00686,0.008136,0.007685
416,0.000055,0.008136,0.00772,0.007192,0.008635,0.008288
