,0,100,200,300,400,500
222,0.146803,0.066792,0.052421,0.071023,0.381026,0.541354
224,0.372176,0.222002,0.157901,0.111778,0.276614,0.323986
226,3.112835,3.125929,2.73708,1.886694,1.61757,1.145574
228,8.36147,9.959953,9.176844,7.150171,5.131406,3.658558
230,7.709919,7.992221,7.988378,7.39889,5.448414,4.237921
232,3.22722,2.268053,2.719019,3.355005,2.786407,2.299569
234,1.077465,0.445723,0.693221,1.266771,1.323839,1.118331
236,0.481859,0.324235,0.429632,0.785647,0.861844,0.758251
238,0.484813,0.698964,0.797508,1.082764,0.827581,0.780445
240,0.491985,0.613764,0.712433,0.988839,0.812059,0.803694
242,0.45535,0.355571,0.38018,0.600364,1.012018,1.024614
244,0.323348,0.195423,0.215177,0.406147,1.253385,1.301172
246,0.155862,0.069358,0.098378,0.25528,0.890669,0.937639
248,0.074657,0.035803,0.064087,0.191567,0.550107,0.600392
250,0.041559,0.021973,0.044542,0.145319,0.412875,0.464866
252,0.028908,0.015703,0.031932,0.112166,0.360967,0.429674
254,0.021168,0.010099,0.024678,0.091789,0.325706,0.389155
256,0.024775,0.010584,0.020169,0.074269,0.273243,0.325775
258,0.028742,0.018824,0.023873,0.064461,0.235235,0.289598
260,0.017714,0.01236,0.020308,0.057831,0.213165,0.271468
262,0.010126,0.004827,0.013303,0.048259,0.190679,0.249453
264,0.01125,0.003315,0.011028,0.041129,0.173659,0.230893
266,0.576033,0.316037,0.194231,0.124207,0.218048,0.258109
268,4.776265,3.51661,2.109902,1.157851,0.85022,0.690987
270,9.30782,8.147819,5.370622,3.242784,2.071547,1.495625
272,6.01729,6.051511,4.641502,3.110102,1.983393,1.427404
274,2.281231,2.232597,2.115395,1.529721,1.062539,0.826139
276,0.79318,0.808827,1.021493,0.753091,0.582386,0.500669
278,0.367418,0.5623,0.762884,0.575603,0.40777,0.385881
280,0.262271,0.609519,0.78211,0.633448,0.346347,0.346305
282,0.172702,0.454948,0.676034,0.576449,0.348955,0.360302
284,0.163893,0.288197,0.528148,0.47606,0.47502,0.485507
286,0.131642,0.219241,0.453089,0.433461,0.554907,0.53514
288,0.078541,0.18029,0.409934,0.407784,0.434376,0.413444
290,0.044611,0.15521,0.377142,0.388239,0.330325,0.317383
292,0.027799,0.13468,0.354281,0.381803,0.29179,0.271995
294,0.017145,0.122778,0.335555,0.385312,0.280054,0.253435
296,0.011264,0.110598,0.318104,0.385215,0.262715,0.229464
298,0.008212,0.100084,0.295757,0.379375,0.25958,0.216203
300,0.006742,0.091983,0.283134,0.381095,0.259746,0.208532
302,0.005798,0.084756,0.270927,0.379847,0.26062,0.205772
304,0.005091,0.07757,0.2546,0.377808,0.265239,0.196173
306,0.003468,0.069899,0.238245,0.371565,0.260828,0.189986
308,0.002719,0.063158,0.225345,0.359955,0.263811,0.184229
310,0.002011,0.054474,0.207145,0.347942,0.263145,0.17954
312,0.001124,0.050548,0.188876,0.329798,0.254225,0.174824
314,0.000763,0.046623,0.175018,0.309892,0.251867,0.165849
316,0.000652,0.03977,0.152435,0.293094,0.24181,0.162728
318,0.000624,0.035331,0.136386,0.268763,0.231074,0.152616
320,0.000388,0.029352,0.12017,0.243766,0.22257,0.142198
322,0.000291,0.025954,0.104439,0.220184,0.205855,0.136358
324,0.000527,0.021293,0.088057,0.195202,0.187739,0.12343
326,0.000319,0.017353,0.074699,0.169026,0.17241,0.113484
328,0.000236,0.014496,0.063782,0.147983,0.155487,0.103122
330,0.000361,0.011957,0.052074,0.122986,0.139895,0.093342
332,0.000486,0.010196,0.042114,0.10541,0.12078,0.080358
334,0.000291,0.007574,0.034388,0.087405,0.108809,0.075281
336,0.00025,0.006589,0.026384,0.070731,0.092399,0.064337
338,0.000208,0.004106,0.021348,0.057789,0.078167,0.055209
340,0.000166,0.003704,0.016133,0.045832,0.065502,0.046761
342,0.000125,0.002788,0.012665,0.034443,0.054266,0.038424
344,0.000236,0.002081,0.009003,0.02655,0.045554,0.032793
346,0.00025,0.001332,0.006728,0.021987,0.03737,0.027147
348,0.000305,0.000999,0.005105,0.015966,0.029047,0.022722
350,0.000236,0.000818,0.003385,0.011597,0.022971,0.018241
352,0.00025,0.00068,0.002871,0.008739,0.017007,0.015106
354,0.000222,0.00043,0.00215,0.006811,0.013636,0.011139
356,0.000277,0.000375,0.001151,0.004245,0.010529,0.009044
358,0.000361,0.000555,0.000929,0.003246,0.00867,0.006922
360,0.000153,0.000305,0.000735,0.002428,0.006395,0.005243
362,0.00018,0.000222,0.000375,0.001581,0.004342,0.003648
364,0.000222,0.000125,0.000444,0.001082,0.003399,0.002636
366,0.000208,0.000194,0.000277,0.000777,0.002525,0.002428
368,0.000236,0.000208,0.000361,0.000596,0.001873,0.001914
370,0.000264,0.000194,0.00025,0.000555,0.001318,0.001262
372,0.00025,0.00018,0.000208,0.000291,0.001096,0.000999
374,0.000444,0.00043,0.000375,0.000375,0.000652,0.000583
376,0.000153,0.000277,0.000499,0.000125,0.000499,0.000444
378,0.00025,0.00018,0.000222,0.000319,0.000347,0.000277
380,0.000319,0.00025,0.00025,0.000222,0.000375,0.000319
382,0.000208,0.000264,0.000208,0.000125,0.000347,0.000361
384,0.000264,0.000083,0.000111,0.000139,0.000319,0.000361
386,0.000139,0.000139,0.000139,0.000194,0.000277,0.000277
388,0.000139,0.000097,0.000222,0.000153,0.000222,0.000375
390,0.000277,0.000166,0.000208,0.000236,0.000236,0.000402
392,0.000139,0.000166,0.000111,0.000139,0.00018,0.00025
394,0.000097,0.000125,0.000097,0.000139,0.00018,0.000444
396,0.000153,0.000069,0.000097,0.000139,0.000153,0.000361
398,0.000319,0.000153,0.000055,0.000097,0.000153,0.00043
400,0.000291,0.000222,0.000194,0.000153,0.00018,0.000513
402,0.00018,0.000166,0.00018,0.000083,0.000166,0.000264
404,0.00018,0.000055,0.000111,0.000153,0.000097,0.000291
406,0.000194,0.000139,0.000111,0.000125,0.000125,0.000513
408,0.00018,0.000083,0.00018,0.000111,0.000153,0.000347
410,0.000153,0.000083,0.000111,0.000055,0.000194,0.000361
412,0.00025,0.000111,0.000153,0.000125,0.000139,0.000319
414,0.000208,0.000139,0.000153,0.00018,0.000111,0.000305
416,0.000166,0.000069,0.000139,0.000097,0.000166,0.000319
418,0.000139,0.000111,0.000166,0.000139,0.000208,0.000277
420,0.00018,0.000166,0.000153,0.000069,0.000153,0.000277
422,0.000153,0.000208,0.000208,0.000139,0.000111,0.000444
424,0.00025,0.000083,0.000069,0.000125,0.00025,0.000264
426,0.000069,0.000069,0.000111,0.000153,0.000153,0.000291
428,0.000055,0.000055,0.000083,0.000194,0.000153,0.000347
430,0.000111,0.000014,0.000125,0.000069,0.000083,0.000361
432,0.000097,0.000055,0.000069,0.000153,0.000097,0.000264
434,0.000125,0.000028,0.000166,0.000111,0.000166,0.000166
436,0.000042,0.000097,0.000166,0.000097,0.000111,0.000388
438,0.000055,0.000083,0.000055,0.000083,0.000069,0.000319
440,0.000236,0.000125,0.000111,0.000153,0.000097,0.000194
442,0.000222,0.000111,0.000153,0.000111,0.000166,0.000305
444,0.000083,0.000111,0.000139,0.000194,0.000153,0.000305
446,0.000166,0.000125,0.000125,0.000222,0.00018,0.000277
448,0.000153,0.000097,0.000236,0.000139,0.000125,0.000208
450,0.000097,0.000083,0.000125,0.00025,0.000111,0.00043
452,0.000069,0.000097,0.000125,0.000153,0.000139,0.000347
454,0.000111,0.000042,0.000208,0.000291,0.000194,0.000208
456,0.000014,0.000014,0.000153,0.000277,0.000236,0.000361
458,0.000042,0.000069,0.00018,0.000277,0.000361,0.000319
460,0.000111,0.000014,0.00018,0.000472,0.000402,0.000305
462,0.000083,0.000097,0.000222,0.000541,0.000416,0.00043
464,0.000069,0.000014,0.000125,0.000499,0.000666,0.000583
466,0.000055,0.000042,0.000083,0.000555,0.000735,0.000596
468,0.000055,0.000055,0.000208,0.000652,0.000777,0.000638
470,0.000014,0.000028,0.000139,0.000763,0.000888,0.000596
472,0.000028,0.000055,0.000208,0.000777,0.001054,0.000763
474,0.000055,0.000055,0.000125,0.000791,0.001415,0.00086
476,0.000014,0.000125,0.00025,0.000957,0.001484,0.00104
478,0.000014,0.000069,0.000083,0.00104,0.001567,0.001124
480,0.000042,0.000069,0.000111,0.00104,0.001873,0.00111
482,0.000125,0.000042,0.000208,0.000971,0.001651,0.001096
484,0.000069,0,0.00018,0.00104,0.001845,0.00111
486,0.000055,0.000028,0.000153,0.001179,0.002067,0.00147
488,0.000111,0.000042,0.000153,0.001276,0.001956,0.001595
