,0,400,800,1200,1600,2000,
212,0.000888,0.000361,0.000596,0.000444,0.00061,0.00043,0.000583
214,0.001734,0.001595,0.002469,0.002095,0.002233,0.001581,0.001554
216,0.006062,0.003426,0.003995,0.003454,0.004605,0.004023,0.00387
218,0.016077,0.011694,0.014746,0.014482,0.014357,0.010556,0.01039
220,0.008157,0.008961,0.007518,0.008073,0.006769,0.011111,0.011153
222,0.007241,0.009266,0.03024,0.015356,0.027702,0.00781,0.009169
224,0.049619,0.20272,0.526941,0.385257,0.505316,0.219075,0.233099
226,0.478502,1.217721,1.559129,1.756342,1.58561,1.372403,1.386136
228,0.491486,0.625652,0.495619,0.516565,0.4221,0.850677,0.815943
230,0.256958,0.14285,0.110807,0.092052,0.089541,0.231295,0.244265
232,0.137537,0.051256,0.073423,0.045,0.072992,0.069858,0.082883
234,0.105813,0.118117,0.140145,0.145555,0.147025,0.148662,0.150757
236,0.118283,0.199308,0.229964,0.184548,0.269664,0.244806,0.24403
238,0.465365,0.890933,1.280004,1.20439,1.33907,0.859167,0.8729
240,0.854506,1.124073,1.072304,1.202504,0.971361,1.326558,1.277272
242,0.845933,0.738831,0.623002,0.610296,0.605496,0.585077,0.608479
244,0.562037,0.635445,0.805678,0.809063,0.826152,0.732921,0.728524
246,0.35675,0.662009,0.704221,0.745253,0.67552,0.834309,0.82582
248,0.490071,0.8346,1.217471,1.07555,1.237904,0.896079,0.910062
250,0.980447,1.441276,1.557881,1.793324,1.54609,1.797361,1.835105
252,0.701502,0.530368,0.401542,0.363104,0.355238,0.738983,0.713501
254,0.603721,0.455641,0.232627,0.200639,0.266086,0.26234,0.262285
256,0.575645,0.482219,0.498449,0.417522,0.525929,0.345112,0.343115
258,0.512349,0.736694,0.7614,0.835752,0.789476,0.757224,0.767434
260,1.183083,2.291551,5.134125,4.03939,5.447679,2.04741,2.186335
262,7.342876,14.567927,20.355377,21.30575,20.508811,14.856262,14.234786
264,10.86362,13.915835,13.645366,14.734636,12.205228,14.526742,15.257901
266,6.60503,6.462416,6.589161,6.295083,6.13954,6.701189,6.644356
268,4.115143,3.823506,4.059226,4.199996,3.850569,4.491008,4.67557
270,2.37707,1.41553,1.315668,0.991572,1.165633,1.677177,1.740861
272,1.858659,1.126584,0.749956,0.379306,0.94445,1.694905,1.606112
274,2.146925,1.691617,0.576324,0.427302,0.983956,1.449862,1.473569
276,2.672632,2.140933,1.136516,0.988437,1.449793,0.82489,0.75574
278,5.503651,5.053628,2.562561,2.482938,3.098796,0.98379,0.975106
280,6.337003,6.525865,8.549347,8.044753,9.028778,4.337533,4.693423
282,6.170835,9.935455,9.599124,10.919536,9.100508,9.19306,8.76107
284,5.800296,4.861062,3.965926,3.747018,3.397231,4.290522,4.392492
