,over 500us,over 1ms
1,0.014773,0.003356934
2,0.01229,0.002080744
3,0.019295,0.008073287
4,0.012027,0.001803311
5,0.013622,0.001817183
6,0.013594,0.001581365
7,0.014121,0.001581365
8,0.016424,0.001733953
9,0.233737,0.219795921
10,0.040977,0.015688809
11,0.013636,0.001442649
12,0.01186,0.002080744
13,0.012221,0.001581365
14,0.023082,0.007393577
15,0.028797,0.001525879
16,0.016133,0.001831055
17,0.231726,0.218491988
18,0.012804,0.001456521
19,0.039714,0.017200817
20,0.012582,0.001401034
21,0.01555,0.001220703
22,0.012304,0.002399791
23,0.015065,0.001331676
24,0.243572,0.223860307
25,0.027188,0.00238592
26,0.01211,0.001470392
27,0.013983,0.001595237
28,0.012679,0.001678467
29,0.012609,0.001317805
30,0.019462,0.002441406
31,0.018186,0.008073287
32,0.043807,0.001373291
33,0.353976,0.001317805
34,0.239508,0.21953236
35,0.049119,0.015938499
36,0.038868,0.001414906
37,0.040963,0.002094616
38,0.261494,0.001373291
39,0.279166,0.001955899
40,0.313568,0.002316562
41,0.118464,0.002094616
42,0.280734,0.22619074
43,0.186823,0.003287575
44,0.087308,0.018768311
45,0.072479,0.004827326
46,0.274741,0.003717596
47,0.110834,0.00349565
48,0.023346,0.005590265
49,0.058635,0.005298961
50,0.251187,0.222278942
51,0.084825,0.008378462
52,0.105355,0.014745539
53,0.078541,0.011166659
54,0.299405,0.023651123
55,0.051741,0.01159668
56,0.037634,0.013358376
57,0.031697,0.016326904
58,0.286324,0.236400257
59,0.037731,0.022569136
60,0.221461,0.019808683
61,0.263422,0.023803711
62,0.09355,0.026078658
63,0.084423,0.044957941
64,0.050285,0.03028176
65,0.084839,0.036288175
66,0.240354,0.226218484
67,0.050673,0.003259832
68,0.038189,0.001858798
69,0.014413,0.002011386
70,0.01358,0.002066872
71,0.013289,0.00238592
72,0.017978,0.005992543
73,0.026495,0.013677424
74,0.300917,0.221418901
75,0.049078,0.002926913
76,0.048176,0.002635609
77,0.034443,0.003093373
78,0.016022,0.002274947
79,0.072313,0.003981157
80,0.163408,0.001844926
81,0.33697,0.010459206
82,0.077112,0.025565407
83,0.434126,0.204245827
84,0.208865,0.002538508
85,0.023415,0.002080744
86,0.120336,0.004397306
87,0.04414,0.002496893
88,0.023693,0.001692338
89,0.266543,0.01048695
90,0.237108,0.001775568
91,0.299683,0.221085982
92,0.055431,0.002788197
93,0.044556,0.001997514
94,0.137426,0.007435192
95,0.159746,0.002593994
96,0.050687,0.002566251
97,0.072951,0.011887984
98,0.018963,0.001955899
99,0.236927,0.221169212
100,0.016826,0.003620494
101,0.017104,0.002649481
102,0.055043,0.002718839
103,0.012984,0.002524636
104,0.016022,0.002066872
105,0.027175,0.016368519
106,0.01401,0.003454035
107,0.384799,0.197920366
108,0.297768,0.003148859
109,0.069192,0.00246915
110,0.016993,0.002288818
111,0.013261,0.003814697
112,0.024123,0.002552379
113,0.022763,0.011416349
114,0.054363,0.003273704
115,0.348275,0.226690119
116,0.028811,0.005132502
117,0.01193,0.002066872
118,0.011749,0.002163974
119,0.011763,0.002677224
120,0.094882,0.004383434
121,0.022056,0.011152788
122,0.021057,0.002607866
123,0.232391,0.221571489
124,0.038438,0.003204346
125,0.109322,0.009280118
126,0.208449,0.00332919
127,0.192663,0.00230269
128,0.152075,0.004036643
129,0.021335,0.003384677
130,0.063324,0.011041815
131,0.303789,0.220309171
132,0.271773,0.003800826
