,0,400,800,1200,1600,2000,
222,0,0.005812,0.002483,0.007088,0.004924,0.00387,0.003371
224,0,0.003856,0.00369,0.004009,0.003315,0.002539,0.002455
226,0,0.13056,0.009294,0.004286,0.008795,0.057623,0.111653
228,0,2.096183,0.653728,0.722004,0.109711,3.211739,3.20307
230,0,4.347118,3.360235,4.432498,2.801028,3.410284,3.173981
232,0,1.970187,3.924339,2.736095,3.286063,3.218079,3.371901
234,0,8.213695,4.827215,4.268535,3.40006,8.336334,8.178933
236,0,6.974251,7.984952,9.244759,8.618982,6.019107,5.698811
238,0.000014,1.075065,6.918723,3.282485,5.418521,2.423193,2.559676
240,0.000069,0.481332,2.307018,1.308427,4.094169,1.431774,1.915269
242,0.000069,0.671942,0.51504,1.198939,1.066603,1.165078,1.305681
244,0.000083,0.970376,0.655934,1.505044,0.655407,1.532163,1.449765
246,0.000014,1.319206,0.73847,2.031208,0.868614,1.300742,1.107927
248,0.000042,0.714833,0.230324,1.549169,0.44761,0.696411,0.67835
250,0.000028,1.579659,0.089181,0.346305,0.262091,0.306216,0.332087
252,0,0.909923,0.060855,0.166543,0.152449,0.207159,0.211196
254,0,0.194841,0.07155,0.281275,0.10677,0.164864,0.15994
256,0.000014,0.162215,0.068692,0.197504,0.11691,0.096616,0.091955
258,0.000014,0.127411,0.066875,0.161063,0.099737,0.055223,0.056638
260,0.000042,0.233376,0.096297,0.073783,0.082592,0.090818,0.119157
262,0.000028,4.049794,1.03603,1.172499,0.341006,5.846599,5.887548
264,0.000014,10.192413,5.061729,7.80795,2.1717,6.664512,6.206998
266,0.000014,2.084517,6.864111,5.703333,2.575101,3.493527,3.164007
268,0.000028,0.382566,4.497708,1.191226,4.238892,0.997661,1.5558
270,0,0.128035,0.553298,0.111667,1.889177,0.430561,0.791043
272,0,0.158678,0.229742,0.428051,0.356126,0.866866,0.937264
274,0.000014,0.546722,0.454851,1.582586,0.345653,1.243328,1.060028
276,0.000014,0.601834,0.293274,1.765941,0.354628,0.854534,0.728205
278,0.000014,1.143896,0.090415,0.628385,0.192871,0.401778,0.443892
280,0.000028,1.600536,0.147331,0.205647,0.180886,0.400793,0.39566
282,0.000014,0.533322,0.257513,0.375227,0.164892,0.322862,0.307839
284,0.000014,0.121737,0.24113,0.282773,0.164628,0.117507,0.120933
286,0.000014,0.055362,0.093217,0.107394,0.146013,0.053059,0.067305
288,0.000014,0.086157,0.044764,0.113692,0.056999,0.10197,0.106132
290,0.000042,0.216758,0.417702,0.149439,0.670194,0.145125,0.140228
292,0.000014,0.13339,1.202046,0.288877,4.54182,0.103413,0.096866
294,0.000014,0.049952,0.433447,0.165613,2.201968,0.038133,0.043987
296,0.000028,0.0713,0.323306,0.041754,1.010271,0.017131,0.023818
298,0,0.047663,0.240187,0.034873,0.691944,0.017783,0.019795
300,0,0.024414,0.181191,0.040907,0.571802,0.023388,0.022181
302,0,0.017672,0.123693,0.057734,0.387282,0.015717,0.014551
304,0,0.019587,0.079068,0.039257,0.232045,0.006686,0.006922
306,0.000014,0.021862,0.042933,0.033708,0.119241,0.003759,0.004148
308,0,0.014981,0.047413,0.014316,0.117118,0.007588,0.007449
310,0,0.015633,0.06202,0.015883,0.106756,0.005604,0.005091
312,0,0.003454,0.027091,0.008656,0.062866,0.003024,0.002941
314,0,0.003801,0.018227,0.006561,0.040103,0.001942,0.002289
316,0,0.00326,0.009502,0.004772,0.029394,0.001623,0.001873
318,0,0.018685,0.009488,0.004578,0.02999,0.00437,0.007047
320,0,1.262665,0.16879,0.318229,0.06485,1.651764,1.824771
322,0,8.272983,2.592871,3.457406,0.744684,6.806058,6.440319
324,0,5.789296,5.939914,7.612194,2.072893,5.895081,5.433072
326,0,1.003695,5.802737,3.086562,2.403384,2.010221,2.159868
328,0,0.191387,2.276806,0.678558,2.946694,0.677782,1.215973
330,0,0.110307,0.283508,0.281566,0.938527,0.500793,0.720381
332,0,0.293857,0.310766,0.942175,0.359941,1.116999,1.041204
334,0,0.677782,0.386075,1.569047,0.39186,1.082181,0.905678
336,0,0.623765,0.400959,1.42567,0.630951,0.620963,0.588032
338,0,1.439944,0.985038,0.392761,3.963762,0.260384,0.28631
340,0,0.891418,0.529924,0.235443,2.605674,0.277752,0.276129
342,0,0.443365,0.324749,0.402735,1.054438,0.32848,0.309587
344,0,0.181704,0.306244,0.407659,0.502791,0.190305,0.182648
346,0,0.055792,0.214927,0.208296,0.346472,0.064614,0.077057
348,0.000014,0.039173,0.135193,0.13762,0.283536,0.027826,0.044472
350,0,0.087169,0.174033,0.101887,0.385742,0.03633,0.037717
352,0,0.092884,0.102442,0.11494,0.29559,0.068595,0.058538
354,0,0.07223,0.137759,0.12902,0.286851,0.068595,0.061215
356,0.000028,0.05679,0.271204,0.093564,0.476144,0.034291,0.04278
358,0,0.057997,0.149467,0.036413,0.40372,0.012998,0.019184
360,0,0.023027,0.05489,0.022708,0.239244,0.008711,0.009988
362,0,0.011278,0.041213,0.026162,0.121058,0.007352,0.007463
364,0,0.018283,0.041185,0.031239,0.094452,0.006284,0.007158
366,0,0.01408,0.037745,0.025579,0.092177,0.004675,0.005701
368,0,0.013622,0.050964,0.013192,0.072354,0.002081,0.00308
370,0,0.009627,0.039437,0.008337,0.062408,0.001498,0.001387
