overflow 1ms,,,,
,over 400us,over 500us,over 1ms,over 2.5ms
98,0.571261,0.004286,0.000319,0.00018
99,0.51411,0.002539,0.000541,0.000305
100,0.482081,0.001207,0.000499,0.000222
101,0.481609,0.001151,0.000541,0.000375
102,0.520103,0.001942,0.000805,0.000513
103,0.496771,0.00215,0.000513,0.000166
104,0.475908,0.001803,0.000583,0.000153
105,0.500682,0.002219,0.000583,0.000264
106,0.521573,0.002095,0.000583,0.00025
107,0.497104,0.0019,0.00068,0.000194
108,0.485562,0.001776,0.000583,0.000236
109,0.481817,0.002053,0.000583,0.000208
110,0.534071,0.002164,0.000444,0.000305
111,0.489863,0.001942,0.000707,0.000361
112,0.498921,0.001318,0.000375,0.000236
113,0.527732,0.004786,0.000652,0.000319
114,0.47846,0.001276,0.000513,0.00025
115,0.490334,0.000763,0.00025,0.000111
116,0.55585,0.002303,0.000652,0.000319
117,0.523196,0.001567,0.000222,0.000111
118,0.510837,0.002344,0.000652,0.000277
119,0.470359,0.001373,0.000624,0.000277
120,0.502999,0.001124,0.000347,0.000208
121,0.516344,0.002871,0.000499,0.000264
122,0.509435,0.001193,0.000388,0.000222
123,0.497894,0.001665,0.000555,0.000222
124,0.482039,0.001346,0.000652,0.000347
125,0.534252,0.003523,0.00018,0.000097
126,0.514554,0.002927,0.000638,0.000388
127,0.500114,0.002483,0.000513,0.000264
128,0.47416,0.002622,0.000846,0.000305
129,0.480804,0.001179,0.000569,0.00018
130,0.523376,0.002081,0.000499,0.000166
131,0.523321,0.002095,0.000818,0.000194
132,0.524084,0.002039,0.000527,0.000264
133,0.514055,0.002275,0.000513,0.00025
134,0.48412,0.001346,0.000444,0.000222
135,0.472051,0.002608,0.000874,0.000333
136,0.518286,0.002691,0.000638,0.00025
137,0.522655,0.0019,0.000375,0.000264
138,0.494634,0.002747,0.00104,0.00043
139,0.528232,0.001429,0.000347,0.000222
140,0.569458,0.002969,0.000264,0.000153
141,0.498144,0.00283,0.000707,0.00025
142,0.481359,0.001457,0.000555,0.000222
143,0.467543,0.001928,0.001151,0.00025
144,0.505385,0.001512,0.000707,0.000166
145,0.570263,0.002774,0.000458,0.000291
146,0.571886,0.003731,0.000499,0.000333
147,0.519784,0.002025,0.000638,0.000264
148,0.474132,0.001359,0.000444,0.000166
