,0,400,800,1200,1600
282,0.828261,5.651106,9.924691,12.495811,1.666551
284,0.971472,0.941883,2.391746,3.125513,0.832936
286,1.273984,0.703361,0.282024,0.80307,1.846549
288,1.703699,0.669029,0.2273,0.899298,1.753471
290,2.452642,0.395536,0.147705,0.860304,1.453899
292,2.28148,0.396409,1.748657,0.426067,2.701222
294,0.962594,0.75832,12.145122,0.35614,4.717796
296,0.361453,0.450606,8.855216,1.110119,2.383603
298,0.270455,0.184257,3.119354,1.111617,0.968989
300,0.199973,0.174949,1.73129,0.78519,0.681055
302,0.224276,0.133667,1.127,0.699463,0.591278
304,0.226801,0.105091,0.891197,0.347665,0.725861
306,0.138661,0.110335,0.757751,0.195618,0.770652
308,0.097171,0.086531,0.587033,0.146318,0.520519
310,0.076696,0.049203,0.341603,0.10541,0.298712
312,0.043751,0.027618,0.201555,0.051283,0.174255
314,0.032959,0.02397,0.156666,0.039021,0.395022
316,0.034735,0.026384,0.106756,0.032196,1.358032
318,0.04235,0.03092,0.0713,0.031669,1.676872
320,0.053683,0.027272,0.059773,0.02895,0.733892
322,0.045471,0.021321,0.05059,0.02404,0.296076
324,0.02723,0.016979,0.040436,0.019892,0.164545
326,0.021515,0.014912,0.033639,0.016715,0.126592
328,0.019254,0.01494,0.027299,0.014995,0.109156
330,0.017076,0.015536,0.027993,0.016119,0.152019
332,0.018311,0.01537,0.022611,0.016937,0.217008
334,0.014343,0.013913,0.019462,0.015828,0.150049
336,0.011902,0.013428,0.019212,0.015897,0.058497
338,0.011208,0.015106,0.020461,0.016923,0.045013
340,0.013733,0.017589,0.028284,0.019712,0.044084
342,0.016022,0.020807,0.027188,0.019198,0.037398
344,0.018449,0.022098,0.020197,0.019379,0.031835
346,0.022514,0.018657,0.016771,0.016396,0.033764
348,0.022611,0.015287,0.01512,0.015398,0.028104
350,0.01985,0.014954,0.016369,0.01702,0.024858
352,0.015966,0.018852,0.019767,0.020475,0.02207
354,0.016216,0.020017,0.020364,0.021251,0.022139
356,0.018227,0.01709,0.018477,0.017659,0.019309
358,0.021196,0.019712,0.018172,0.018963,0.019989
360,0.029893,0.029644,0.025316,0.027161,0.027965
362,0.036136,0.03246,0.028811,0.031905,0.036801
364,0.025968,0.023124,0.025565,0.02225,0.030934
366,0.01598,0.015398,0.018269,0.016965,0.018532
368,0.012568,0.014218,0.017437,0.01795,0.01752
370,0.012415,0.015883,0.017839,0.018935,0.017672
372,0.014052,0.01838,0.020266,0.020377,0.020308
374,0.019087,0.021251,0.021487,0.02243,0.019143
376,0.023166,0.021612,0.020655,0.021917,0.021848
378,0.023304,0.016882,0.019559,0.019642,0.021987
380,0.016424,0.013899,0.019351,0.018463,0.020058
382,0.011638,0.015023,0.018879,0.018741,0.018574
384,0.010071,0.014454,0.018047,0.018144,0.017936
386,0.01616,0.016313,0.016896,0.017978,0.017478
388,0.034693,0.033611,0.026328,0.032071,0.025454
390,0.075989,0.07868,0.06055,0.073825,0.056638
392,0.11046,0.111153,0.084839,0.098988,0.083368
394,0.090401,0.094396,0.081329,0.080511,0.081371
396,0.043682,0.043071,0.041462,0.038785,0.044292
398,0.02293,0.02293,0.022111,0.023554,0.022888
400,0.022625,0.020447,0.021002,0.02372,0.024733
402,0.024123,0.025343,0.02447,0.028284,0.03067
404,0.034152,0.032903,0.035595,0.036025,0.033028
406,0.043515,0.037384,0.039146,0.041976,0.038854
408,0.034887,0.031766,0.03479,0.032363,0.032265
410,0.022347,0.01949,0.025773,0.02207,0.0268
412,0.009502,0.008725,0.018463,0.010972,0.018116
414,0.006839,0.006228,0.015966,0.009558,0.016507
416,0.008018,0.006894,0.014884,0.009669,0.011749
418,0.023388,0.023082,0.025011,0.023499,0.017534
420,0.067153,0.071661,0.063366,0.066625,0.05009
422,0.112152,0.115925,0.088099,0.100861,0.083674
424,0.110404,0.119185,0.10179,0.095922,0.092607
426,0.062214,0.063116,0.059523,0.054488,0.06202
428,0.02895,0.031822,0.027105,0.0268,0.028354
430,0.029519,0.028811,0.022444,0.025607,0.027119
432,0.031405,0.030726,0.025912,0.028146,0.028728
434,0.04106,0.04088,0.038133,0.04002,0.036052
436,0.060674,0.05342,0.043418,0.051478,0.044306
438,0.044694,0.039659,0.035692,0.039132,0.036704
440,0.031711,0.030351,0.025829,0.028992,0.02809
442,0.010834,0.01014,0.013386,0.010917,0.014579
444,0.002982,0.002913,0.009738,0.006187,0.010057
446,0.002414,0.002677,0.00989,0.005452,0.008656
448,0.002095,0.002608,0.009682,0.003343,0.006631
450,0.002095,0.002067,0.011056,0.003551,0.007616
452,0.001928,0.001637,0.009474,0.002969,0.007296
454,0.001457,0.001609,0.007144,0.002552,0.008101
456,0.001082,0.001401,0.004272,0.001845,0.006728
458,0.001262,0.000929,0.00258,0.001873,0.004175
460,0.000999,0.000971,0.001789,0.001359,0.002969
462,0.001096,0.001068,0.002081,0.001595,0.00387
464,0.001165,0.001096,0.001443,0.001318,0.003177
466,0.000916,0.00086,0.001567,0.00104,0.003898
468,0.000763,0.000805,0.001193,0.000874,0.003121
470,0.000624,0.000888,0.00104,0.001013,0.00283
472,0.000805,0.000513,0.000805,0.00104,0.001706
474,0.000818,0.00086,0.001193,0.000888,0.001429
476,0.000596,0.000694,0.000916,0.000957,0.002081
478,0.000749,0.000694,0.001068,0.000707,0.00215
480,0.000596,0.000638,0.001165,0.000777,0.001831
482,0.000624,0.000527,0.00086,0.000499,0.001692
484,0.000527,0.000596,0.000749,0.000486,0.001082
486,0.000458,0.000347,0.000652,0.000486,0.000805
488,0.000291,0.000458,0.000694,0.000444,0.00068
490,0.000361,0.000361,0.000929,0.000416,0.000555
492,0.000305,0.000305,0.000749,0.000583,0.000749
494,0.000319,0.000347,0.000569,0.000458,0.000541
496,0.000264,0.000361,0.000569,0.000375,0.000541
498,0.000361,0.000444,0.000486,0.000347,0.000486
500,0.000291,0.00025,0.000541,0.000208,0.000333
502,0.000194,0.000111,0.000305,0.000264,0.000388
504,0.000139,0.000083,0.000291,0.000069,0.000208
506,0.000083,0.000083,0.000305,0.000055,0.000194
508,0.000125,0.000042,0.000264,0.000111,0.000236
510,0.000097,0.000028,0.00018,0.000069,0.000139
512,0.000055,0.000014,0.000208,0.000055,0.000194
514,0.000042,0.000042,0.00018,0.000028,0.000153
516,0.000014,0.000014,0.000111,0.000028,0.000125
518,0,0,0.000111,0.000055,0.000069
520,0.000014,0.000014,0.000014,0.000014,0.000055
522,0,0.000014,0,0,0.000097
524,0,0.000055,0.000042,0.000042,0.000055
526,0,0.000028,0.000014,0.000055,0.000069
528,0,0,0,0.000014,0.000014
530,0.000014,0,0.000028,0,0.000028
532,0.000014,0.000042,0,0.000042,0.000111
534,0.000014,0.000014,0.000014,0,0.000069
536,0,0,0.000014,0,0.000028
538,0,0.000028,0,0,0.000028
540,0,0.000055,0,0.000014,0.000069
542,0,0,0.000028,0.000014,0
544,0,0,0.000014,0.000014,0.000028
546,0.000014,0.000014,0,0,0
548,0,0,0,0.000014,0
550,0,0.000042,0.000014,0,0.000028
552,0,0,0,0,0
554,0,0,0,0.000014,0.000014
556,0,0,0,0,0.000014
558,0.000014,0.000014,0,0.000014,0
560,0,0.000014,0.000014,0,0
562,0,0,0,0.000042,0.000014
564,0,0.000014,0,0,0
566,0.000014,0.000014,0,0.000028,0
568,0,0,0,0.000028,0
570,0,0.000014,0.000014,0.000014,0
572,0,0.000014,0.000014,0.000014,0
574,0.000014,0,0,0,0
576,0,0,0,0.000014,0
578,0,0,0,0.000014,0
580,0,0,0,0,0
582,0,0,0,0.000014,0
584,0,0,0,0.000014,0
586,0,0,0,0,0
588,0,0.000014,0,0.000014,0
590,0,0.000014,0.000014,0,0
592,0,0,0.000028,0,0
594,0.000014,0.000014,0,0.000014,0
596,0,0,0,0.000055,0
598,0.000014,0.000014,0,0.000042,0
600,0.000014,0,0.000028,0.000042,0
602,0.000014,0.000028,0,0,0.000014
604,0,0,0,0,0
606,0.000014,0.000014,0,0.000014,0
