,0,400,800,1200,1600,2000
246,0.048461,0.011867,0.257978,0.066979,0.014309,0.425117
248,0.020232,0.008066,0.126218,0.038605,0.012165,0.290798
250,0.009641,0.004723,0.047573,0.019441,0.007449,0.332551
252,0.006506,0.002004,0.022632,0.007075,0.002088,0.334778
254,0.004668,0.001047,0.013851,0.00403,0.000694,0.229305
256,0.003371,0.000631,0.011076,0.00369,0.000458,0.146755
258,0.002393,0.000333,0.008122,0.002795,0.000215,0.116064
260,0.001928,0.00025,0.006527,0.001706,0.000222,0.101228
262,0.001554,0.000187,0.005722,0.001061,0.000083,0.087627
264,0.001193,0.000125,0.004238,0.000728,0.000083,0.071917
266,0.000673,0.00016,0.00258,0.000319,0.000083,0.058379
268,0.000465,0.000111,0.001776,0.000312,0.000014,0.0476
270,0.000381,0.000049,0.00145,0.00025,0.000042,0.03857
272,0.000312,0.000069,0.0012,0.000146,0.000014,0.028964
274,0.00025,0.000076,0.000881,0.000153,0,0.027001
276,0.000139,0.000069,0.00061,0.000097,0.000021,0.027299
278,0.00018,0.000035,0.000721,0.000146,0.000007,0.022181
280,0.000125,0.000083,0.00052,0.000104,0.000028,0.016292
282,0.000111,0.000042,0.000534,0.000118,0,0.01358
284,0.001581,0.000035,0.000381,0.000375,0.000111,0.010043
286,0.017742,0.000055,0.00077,0.004293,0.002088,0.008344
288,0.069656,0.000153,0.003856,0.024324,0.015023,0.009738
290,0.263922,0.00138,0.062325,0.278334,0.262923,0.028485
292,0.901219,0.010438,0.529272,1.44629,1.570872,0.121834
294,2.231785,0.107117,1.780465,3.162218,3.554729,0.808695
296,3.387708,0.675292,2.953824,3.809648,4.2489,2.185884
298,3.768858,2.047965,3.314452,3.504833,3.738043,3.086118
300,3.310422,3.534837,3.101425,2.90098,2.995987,2.998227
302,2.611632,4.066023,2.689916,2.160756,2.142168,2.422444
304,1.830881,3.718546,2.06561,1.363012,1.173997,2.008064
306,1.063857,2.867681,1.318144,0.698201,0.433148,1.439084
308,0.662661,2.00187,0.890649,0.465906,0.224755,1.155111
310,0.64279,1.003362,0.775251,0.801204,0.634467,0.893985
312,1.150922,0.415962,1.227639,1.830195,1.907168,0.842084
314,1.907786,0.292428,1.881298,2.247072,2.412567,1.55435
316,1.988851,0.9143,1.900288,1.788497,1.823058,2.273733
318,1.683329,1.826553,1.650446,1.518804,1.549683,1.843713
320,1.37902,2.177547,1.502852,1.203558,1.192842,1.58115
322,0.911075,1.862599,1.085358,0.662668,0.54365,1.257622
324,0.505614,1.550591,0.680105,0.354434,0.209122,0.919599
326,0.238384,0.9935,0.441971,0.192816,0.081683,0.677844
328,0.145021,0.528086,0.327114,0.153399,0.052241,0.54374
330,0.068318,0.159905,0.233397,0.121314,0.039798,0.38138
332,0.033306,0.034603,0.154946,0.067749,0.019934,0.355925
334,0.024074,0.011701,0.102484,0.036337,0.008919,0.311467
336,0.014024,0.004481,0.067236,0.019829,0.004619,0.244161
338,0.006596,0.002206,0.035269,0.011312,0.002989,0.178292
340,0.004155,0.001332,0.016514,0.006353,0.002067,0.146727
342,0.002892,0.000673,0.009412,0.003412,0.000624,0.128188
344,0.00188,0.00034,0.006825,0.001887,0.000347,0.093543
346,0.001651,0.000236,0.005528,0.001415,0.000187,0.066979
348,0.00104,0.000111,0.004307,0.00102,0.000104,0.055466
350,0.000964,0.000139,0.003121,0.000666,0.000035,0.045984
352,0.000728,0.000104,0.002344,0.000437,0.000062,0.038695
354,0.000479,0.000042,0.001699,0.000305,0.000035,0.03187
356,0.000402,0.000055,0.001255,0.000187,0.000021,0.025198
358,0.000277,0.000042,0.000784,0.000125,0.000007,0.021043
360,0.000243,0.000035,0.00077,0.00016,0.000028,0.019594
362,0.000236,0.000069,0.000596,0.000104,0.000028,0.016292
364,0.000187,0.000069,0.000596,0.00018,0.000035,0.013449
