,0,400,800,1200,1600,2000
224,0.156812,0.104141,0.150681,0.147892,0.199613,0.181191
226,0.125178,0.053142,0.090769,0.088203,0.144827,0.115447
228,0.08898,0.032203,0.062949,0.05892,0.103281,0.079741
230,0.053059,0.020946,0.042419,0.047046,0.070974,0.061215
232,0.032182,0.0146,0.035255,0.046574,0.057588,0.060147
234,0.020232,0.010057,0.038494,0.046983,0.057671,0.062894
236,0.014142,0.007345,0.042794,0.045603,0.058316,0.060328
238,0.009502,0.005271,0.043897,0.039798,0.055535,0.056596
240,0.007893,0.004016,0.041143,0.036899,0.053614,0.051381
242,0.006284,0.003697,0.034859,0.033944,0.049196,0.048544
244,0.00516,0.003787,0.030511,0.033195,0.048918,0.050763
246,0.00369,0.003232,0.028048,0.033549,0.050264,0.049931
248,0.002539,0.004002,0.024664,0.034422,0.050222,0.053378
250,0.002025,0.004189,0.022139,0.039895,0.053558,0.060661
252,0.001803,0.004911,0.023568,0.043425,0.060349,0.067381
254,0.001588,0.004959,0.024789,0.040935,0.062284,0.067076
256,0.001498,0.004217,0.029477,0.038105,0.058427,0.064829
258,0.001352,0.003953,0.034797,0.039354,0.055715,0.066147
260,0.001443,0.003586,0.044015,0.038965,0.056992,0.064885
262,0.00147,0.00326,0.047892,0.033888,0.053135,0.053974
264,0.001498,0.00276,0.040075,0.024823,0.041982,0.037481
266,0.001491,0.002337,0.029477,0.016972,0.029748,0.025004
268,0.001415,0.001762,0.018983,0.012921,0.020939,0.018602
270,0.001325,0.001637,0.012408,0.012748,0.016854,0.016244
272,0.001144,0.001498,0.00842,0.011118,0.014537,0.013483
274,0.001131,0.001297,0.006263,0.008441,0.011458,0.010855
276,0.00086,0.001207,0.004314,0.00627,0.009308,0.009121
278,0.000853,0.001082,0.003856,0.005368,0.007893,0.00799
280,0.00086,0.001242,0.003288,0.004571,0.006853,0.006478
282,0.00095,0.001144,0.002885,0.004272,0.00609,0.006145
284,0.000777,0.001131,0.002878,0.004037,0.00568,0.006048
286,0.000853,0.001311,0.002733,0.004106,0.005701,0.006117
288,0.000763,0.001089,0.002608,0.003787,0.005299,0.004827
290,0.000624,0.00095,0.002441,0.003829,0.005243,0.005771
292,0.000666,0.000971,0.002975,0.003475,0.005237,0.005708
294,0.000631,0.000659,0.003565,0.003808,0.005514,0.005653
296,0.000687,0.000867,0.003454,0.003669,0.00489,0.005389
298,0.000645,0.000805,0.002747,0.003551,0.004723,0.005243
300,0.00059,0.000742,0.002393,0.003218,0.004571,0.004217
302,0.000527,0.000763,0.001644,0.002941,0.00412,0.004009
304,0.000499,0.000798,0.001179,0.002996,0.003946,0.00369
306,0.000499,0.000825,0.001089,0.002795,0.00351,0.003412
308,0.000513,0.000728,0.001061,0.002747,0.00301,0.002684
310,0.000458,0.000659,0.000784,0.002497,0.002545,0.002407
312,0.000527,0.000617,0.000811,0.002774,0.002122,0.002074
314,0.000492,0.00068,0.000811,0.003177,0.002136,0.002102
316,0.00043,0.000832,0.000763,0.003551,0.002428,0.002539
318,0.000465,0.000818,0.000832,0.004002,0.002566,0.002698
320,0.000381,0.000652,0.000881,0.004272,0.003329,0.003059
322,0.000395,0.000818,0.000853,0.003891,0.00292,0.00308
324,0.000562,0.000811,0.000895,0.003648,0.002455,0.002545
326,0.000388,0.000749,0.001068,0.003503,0.002143,0.00249
328,0.00043,0.000916,0.000985,0.00326,0.002199,0.002448
330,0.000555,0.000763,0.000909,0.003551,0.001831,0.001921
332,0.000423,0.000624,0.000916,0.002844,0.001824,0.001498
334,0.000555,0.000631,0.000818,0.002871,0.001332,0.001373
336,0.000465,0.000645,0.000728,0.002795,0.001172,0.00129
338,0.000381,0.000659,0.000638,0.002726,0.001068,0.00129
340,0.000416,0.000631,0.000541,0.002656,0.000992,0.00111
342,0.000596,0.000569,0.000409,0.002504,0.000971,0.000916
344,0.000472,0.00052,0.000527,0.002552,0.000916,0.000701
346,0.000423,0.000631,0.000416,0.002532,0.000832,0.000992
