,over 400us,over 1ms,over 1.5ms,over 2ms
725,1.108343,0.115884,0.094272,0.067832
730,1.126244,0.12954,0.105078,0.078687
735,1.123345,0.119254,0.097032,0.071196
740,1.115806,0.128923,0.105535,0.079075
745,1.13954,0.140783,0.112714,0.084672
750,1.146636,0.145333,0.116764,0.087683
755,1.145845,0.140568,0.108088,0.078569
760,1.144922,0.143571,0.115266,0.08606
765,1.148508,0.147282,0.118124,0.08839
770,1.149826,0.142808,0.116043,0.087731
775,1.120418,0.133327,0.108109,0.080227
780,1.124503,0.131517,0.106846,0.078
785,1.124663,0.13135,0.106645,0.077598
790,1.126036,0.135186,0.10969,0.080171
795,1.125447,0.133563,0.107956,0.079089
800,1.132105,0.140527,0.113352,0.083348
805,1.125731,0.134687,0.107519,0.077071
810,1.136627,0.137378,0.11021,0.079068
815,1.161874,0.163082,0.131767,0.099952
820,1.152378,0.152664,0.123527,0.0926
825,1.151726,0.154745,0.124096,0.093023
830,1.167991,0.171217,0.137059,0.104065
835,1.195006,0.173735,0.139084,0.106042
840,1.181245,0.175372,0.139493,0.106603
845,1.141572,0.149432,0.116688,0.083743
850,1.169531,0.172299,0.137828,0.105119
855,1.168442,0.169428,0.135547,0.102463
860,1.183437,0.179402,0.142559,0.108525
865,1.176584,0.172764,0.137822,0.103933
870,1.15242,0.161591,0.12884,0.095035
875,1.168976,0.162152,0.129006,0.09466
880,1.183728,0.180886,0.143967,0.108816
885,1.19984,0.187628,0.148739,0.113407
890,1.186121,0.182502,0.144695,0.109253
895,1.185414,0.177598,0.141858,0.106409
900,1.174649,0.170038,0.133507,0.097129
905,1.182945,0.188092,0.149238,0.112651
910,1.190657,0.191435,0.1517,0.115086
915,1.204987,0.20143,0.158691,0.121453
920,1.207601,0.207783,0.163207,0.124859
925,1.206665,0.209191,0.163505,0.124546
930,1.206471,0.204294,0.157346,0.118429
935,1.207296,0.210301,0.164074,0.124512
940,1.209342,0.206757,0.163387,0.12438
945,1.211014,0.212215,0.166612,0.127244
950,1.233056,0.208061,0.162825,0.123992
955,1.227729,0.212298,0.166293,0.126696
960,1.208884,0.199148,0.1565,0.117125
965,1.207719,0.201312,0.157512,0.117083
970,1.221376,0.206271,0.159753,0.118408
975,1.224761,0.214358,0.165606,0.123853
980,1.230725,0.212062,0.164524,0.123998
985,1.225142,0.217424,0.169178,0.127598
990,1.245298,0.222092,0.172882,0.130927
995,1.248779,0.22789,0.176301,0.134069
1000,1.227126,0.220836,0.170642,0.127688
1005,1.231495,0.225338,0.174824,0.132176
1010,1.249695,0.231982,0.179901,0.136192
1015,1.24717,0.230283,0.175372,0.130352
1020,1.262165,0.258449,0.198808,0.151978
1025,1.265758,0.256986,0.198219,0.153136
