,over 400us,over 1ms,over 1.5ms,over 2ms
3040,6.709893,5.322254,4.569245,3.696413
3045,6.652396,5.193009,4.464768,3.669746
3050,6.629628,5.055419,4.370662,3.704473
3055,6.504426,5.056712,4.373231,3.702117
3060,6.506277,5.00127,4.340006,3.678457
3065,6.459105,5.105294,4.415715,3.764425
3070,6.644334,5.105713,4.42572,3.787838
3075,6.878367,5.460845,4.709304,3.887569
3080,6.709297,5.271021,4.555473,3.839765
3085,7.047579,5.542542,4.781908,3.929646
3090,7.263598,5.845407,5.089669,4.273599
3095,6.651431,5.195773,4.514427,3.836028
3100,6.648345,5.176206,4.500124,3.81334
3105,6.544073,5.151298,4.488611,3.745379
3110,6.769461,5.271997,4.591469,3.933657
3115,6.705819,5.316463,4.626473,3.990496
3120,6.809764,5.310031,4.623725,3.892104
3125,6.911398,5.500746,4.765005,4.022341
3130,6.80224,5.500369,4.754341,4.012474
3135,6.90162,5.464775,4.745569,4.037142
3140,6.921959,5.517451,4.797183,4.088888
3145,7.049105,5.641523,4.896652,4.135564
3150,7.099059,5.66004,4.902399,4.122909
3155,7.061184,5.620479,4.866271,4.138851
3160,7.4013,5.949754,5.144993,4.246864
3165,7.257681,5.915311,5.102268,4.196925
3170,7.60977,6.161009,5.355866,4.462389
3175,7.378721,5.942896,5.133966,4.244117
3180,7.135379,5.717248,4.97612,4.267044
3185,7.651255,6.315831,5.497105,4.662218
3190,7.752519,6.336495,5.519413,4.658591
3195,7.309427,5.859547,5.087225,4.312698
3200,7.732908,6.325016,5.504825,4.595925
3205,7.779516,6.380096,5.551547,4.763111
3210,7.78975,6.381027,5.549231,4.760232
3215,7.543357,6.127898,5.302644,4.417404
3220,7.288935,5.981891,5.198948,4.419459
3225,7.573358,6.162448,5.334356,4.447526
3230,7.627533,6.206808,5.376398,4.474392
3235,7.663268,6.132864,5.334575,4.518293
3240,7.681623,6.259328,5.411555,4.48871
3245,7.674392,6.195827,5.373919,4.514596
3250,7.510611,6.088936,5.308416,4.5237
3255,7.624529,6.245187,5.415932,4.553438
3260,7.806161,6.292647,5.464806,4.604475
3265,7.382479,6.023805,5.275114,4.499913
3270,7.425998,6.072088,5.315669,4.542957
3275,7.689017,6.163151,5.389536,4.645248
3280,7.943286,6.515395,5.635507,4.691325
3285,7.88092,6.401774,5.553791,4.686512
3290,8.234113,6.833783,5.930724,4.937818
3295,7.605819,6.239284,5.461019,4.7285
3300,7.636331,6.140126,5.396487,4.609517
3305,7.125676,5.760305,5.100117,4.411831
3310,7.815328,6.42073,5.600553,4.83441
3315,8.56661,7.14285,6.21732,5.282794
3320,7.958655,6.604495,5.738356,4.876351
3325,8.165826,6.714049,5.822785,4.905745
3330,8.475118,7.071903,6.135177,5.115089
3335,8.415965,7.003453,6.082008,5.120019
3340,8.353444,6.92819,6.011669,5.038948
3345,8.832274,7.253188,6.306063,5.295649
3350,8.132441,6.514121,5.723225,4.919857
3355,8.083659,6.646158,5.824275,5.054347
3360,7.641298,6.230573,5.505379,4.719893
3365,8.573578,7.076595,6.14024,5.162544
3370,9.083861,7.434559,6.467044,5.48789
3375,8.646431,7.099497,6.154192,5.17838
3380,8.99218,7.486308,6.510321,5.476491
3385,8.954143,7.421731,6.44272,5.378882
3390,9.12587,7.475337,6.508874,5.642269
3395,9.095664,7.625895,6.635501,5.685013
3400,8.528715,7.0684,6.160751,5.271664
3405,11.767966,7.044825,6.207179,5.379237
3410,11.58723,7.711444,6.758138,5.874051
